"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000262764 (pp) 9606.ENSP00000368140","false","pp","9606.ENSP00000262764 (pp) 9606.ENSP00000368140","0.055",,"0.908",,,,"0.084","0.976","0.744"
"pp","9606.ENSP00000263800 (pp) 9606.ENSP00000373700","false","pp","9606.ENSP00000263800 (pp) 9606.ENSP00000373700","0.042","0.061",,"0.292",,,,"0.56","0.391"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000484824","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000484824",,,,,,,,"0.435","0.435"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000373700","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000373700",,,"0.9","0.069",,,,"0.979","0.801"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000370593","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000370593","0.068",,,"0.049",,,,"0.436","0.415"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000354376","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000354376",,,,"0.094",,,,"0.425","0.392"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000360280","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000360280","0.056",,"0.9",,,,,"0.901",
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000346671","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000346671","0.043",,"0.9","0.069",,,,"0.951","0.52"
"pp","9606.ENSP00000264051 (pp) 9606.ENSP00000346671","false","pp","9606.ENSP00000264051 (pp) 9606.ENSP00000346671",,,"0.5","0.046",,,,"0.591","0.212"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000313419","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000313419",,,"0.9",,,,,"0.967","0.691"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000374135","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000374135",,,,,,,,"0.581","0.581"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000431418","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000431418","0.05",,"0.9","0.087",,,,"0.96","0.594"
"pp","9606.ENSP00000264771 (pp) 9606.ENSP00000298910","false","pp","9606.ENSP00000264771 (pp) 9606.ENSP00000298910",,,,,,,,"0.72","0.72"
"pp","9606.ENSP00000264758 (pp) 9606.ENSP00000482607","false","pp","9606.ENSP00000264758 (pp) 9606.ENSP00000482607",,,,,,,,"0.478","0.478"
"pp","9606.ENSP00000264771 (pp) 9606.ENSP00000273814","false","pp","9606.ENSP00000264771 (pp) 9606.ENSP00000273814","0.103",,,,,,,"0.731","0.713"
"pp","9606.ENSP00000264771 (pp) 9606.ENSP00000356110","false","pp","9606.ENSP00000264771 (pp) 9606.ENSP00000356110",,,,,,,,"0.506","0.506"
"pp","9606.ENSP00000264771 (pp) 9606.ENSP00000355589","false","pp","9606.ENSP00000264771 (pp) 9606.ENSP00000355589",,,,,,,,"0.425","0.426"
"pp","9606.ENSP00000264771 (pp) 9606.ENSP00000343701","false","pp","9606.ENSP00000264771 (pp) 9606.ENSP00000343701",,,,,,,,"0.42","0.421"
"pp","9606.ENSP00000264771 (pp) 9606.ENSP00000265594","false","pp","9606.ENSP00000264771 (pp) 9606.ENSP00000265594",,,,,,,,"0.659","0.659"
"pp","9606.ENSP00000264771 (pp) 9606.ENSP00000356107","false","pp","9606.ENSP00000264771 (pp) 9606.ENSP00000356107","0.049",,,,,,,"0.518","0.514"
"pp","9606.ENSP00000264771 (pp) 9606.ENSP00000500990","false","pp","9606.ENSP00000264771 (pp) 9606.ENSP00000500990",,,,,,,,"0.727","0.727"
"pp","9606.ENSP00000264771 (pp) 9606.ENSP00000314499","false","pp","9606.ENSP00000264771 (pp) 9606.ENSP00000314499","0.097",,,,,,,"0.743","0.728"
"pp","9606.ENSP00000264771 (pp) 9606.ENSP00000281924","false","pp","9606.ENSP00000264771 (pp) 9606.ENSP00000281924",,,,,,,,"0.507","0.507"
"pp","9606.ENSP00000264771 (pp) 9606.ENSP00000429150","false","pp","9606.ENSP00000264771 (pp) 9606.ENSP00000429150",,,,,,,,"0.453","0.453"
"pp","9606.ENSP00000264896 (pp) 9606.ENSP00000345672","false","pp","9606.ENSP00000264896 (pp) 9606.ENSP00000345672","0.148",,,,,,,"0.445","0.376"
"pp","9606.ENSP00000264896 (pp) 9606.ENSP00000346671","false","pp","9606.ENSP00000264896 (pp) 9606.ENSP00000346671",,,,"0.044",,,,"0.942","0.942"
"pp","9606.ENSP00000264896 (pp) 9606.ENSP00000304592","false","pp","9606.ENSP00000264896 (pp) 9606.ENSP00000304592",,,,,,,,"0.725","0.725"
"pp","9606.ENSP00000264896 (pp) 9606.ENSP00000500990","false","pp","9606.ENSP00000264896 (pp) 9606.ENSP00000500990","0.067",,,,,,,"0.682","0.674"
"pp","9606.ENSP00000264896 (pp) 9606.ENSP00000313419","false","pp","9606.ENSP00000264896 (pp) 9606.ENSP00000313419",,,,,,,,"0.888","0.888"
"pp","9606.ENSP00000264896 (pp) 9606.ENSP00000351497","false","pp","9606.ENSP00000264896 (pp) 9606.ENSP00000351497","0.062",,,,,,,"0.493","0.482"
"pp","9606.ENSP00000264896 (pp) 9606.ENSP00000484824","false","pp","9606.ENSP00000264896 (pp) 9606.ENSP00000484824","0.044",,,"0.112",,,,"0.471","0.427"
"pp","9606.ENSP00000265016 (pp) 9606.ENSP00000405456","false","pp","9606.ENSP00000265016 (pp) 9606.ENSP00000405456",,,"0.4",,,,,"0.414","0.064"
"pp","9606.ENSP00000265016 (pp) 9606.ENSP00000381026","false","pp","9606.ENSP00000265016 (pp) 9606.ENSP00000381026","0.048","0.235",,,,,,"0.437","0.29"
"pp","9606.ENSP00000265404 (pp) 9606.ENSP00000313419","false","pp","9606.ENSP00000265404 (pp) 9606.ENSP00000313419","0.421",,,,,,,"0.466","0.116"
"pp","9606.ENSP00000265594 (pp) 9606.ENSP00000321805","false","pp","9606.ENSP00000265594 (pp) 9606.ENSP00000321805",,,,"0.046",,,,"0.482","0.48"
"pp","9606.ENSP00000265594 (pp) 9606.ENSP00000314499","false","pp","9606.ENSP00000265594 (pp) 9606.ENSP00000314499","0.049",,,,,,,"0.692","0.69"
"pp","9606.ENSP00000265594 (pp) 9606.ENSP00000281924","false","pp","9606.ENSP00000265594 (pp) 9606.ENSP00000281924",,,,,,,,"0.431","0.431"
"pp","9606.ENSP00000265594 (pp) 9606.ENSP00000356107","false","pp","9606.ENSP00000265594 (pp) 9606.ENSP00000356107","0.117",,,,,,,"0.442","0.394"
"pp","9606.ENSP00000265594 (pp) 9606.ENSP00000378405","false","pp","9606.ENSP00000265594 (pp) 9606.ENSP00000378405","0.049",,,"0.094",,,,"0.518","0.486"
"pp","9606.ENSP00000265594 (pp) 9606.ENSP00000340820","false","pp","9606.ENSP00000265594 (pp) 9606.ENSP00000340820",,,,,,,,"0.418","0.419"
"pp","9606.ENSP00000265594 (pp) 9606.ENSP00000273814","false","pp","9606.ENSP00000265594 (pp) 9606.ENSP00000273814",,,,,,,,"0.635","0.636"
"pp","9606.ENSP00000265594 (pp) 9606.ENSP00000298910","false","pp","9606.ENSP00000265594 (pp) 9606.ENSP00000298910",,,,,,,,"0.659","0.659"
"pp","9606.ENSP00000265594 (pp) 9606.ENSP00000500990","false","pp","9606.ENSP00000265594 (pp) 9606.ENSP00000500990",,,,,,,,"0.62","0.62"
"pp","9606.ENSP00000265594 (pp) 9606.ENSP00000356110","false","pp","9606.ENSP00000265594 (pp) 9606.ENSP00000356110","0.05",,,,,,,"0.452","0.447"
"pp","9606.ENSP00000265594 (pp) 9606.ENSP00000371420","false","pp","9606.ENSP00000265594 (pp) 9606.ENSP00000371420","0.072",,,,,,,"0.414","0.395"
"pp","9606.ENSP00000265594 (pp) 9606.ENSP00000429150","false","pp","9606.ENSP00000265594 (pp) 9606.ENSP00000429150",,,,,,,,"0.454","0.454"
"pp","9606.ENSP00000265594 (pp) 9606.ENSP00000343701","false","pp","9606.ENSP00000265594 (pp) 9606.ENSP00000343701","0.076",,,,,,,"0.439","0.418"
"pp","9606.ENSP00000273814 (pp) 9606.ENSP00000321805","false","pp","9606.ENSP00000273814 (pp) 9606.ENSP00000321805",,,,"0.053",,,,"0.511","0.505"
"pp","9606.ENSP00000268679 (pp) 9606.ENSP00000270061","false","pp","9606.ENSP00000268679 (pp) 9606.ENSP00000270061","0.048",,,"0.296",,,,"0.411","0.193"
"pp","9606.ENSP00000269197 (pp) 9606.ENSP00000490107","false","pp","9606.ENSP00000269197 (pp) 9606.ENSP00000490107","0.083",,,,,,,"0.492","0.469"
"pp","9606.ENSP00000269844 (pp) 9606.ENSP00000350377","false","pp","9606.ENSP00000269844 (pp) 9606.ENSP00000350377",,,,,,,,"0.43","0.431"
"pp","9606.ENSP00000272452 (pp) 9606.ENSP00000319622","false","pp","9606.ENSP00000272452 (pp) 9606.ENSP00000319622",,"0.064","0.5","0.466",,,,"0.739","0.082"
"pp","9606.ENSP00000268679 (pp) 9606.ENSP00000457230","false","pp","9606.ENSP00000268679 (pp) 9606.ENSP00000457230","0.091",,"0.155",,,,,"0.418","0.303"
"pp","9606.ENSP00000269197 (pp) 9606.ENSP00000340373","false","pp","9606.ENSP00000269197 (pp) 9606.ENSP00000340373",,,,"0.095",,,,"0.431","0.398"
"pp","9606.ENSP00000273814 (pp) 9606.ENSP00000314499","false","pp","9606.ENSP00000273814 (pp) 9606.ENSP00000314499","0.143",,,,,,,"0.738","0.707"
